
---------- Begin Simulation Statistics ----------
final_tick                                 5193945000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  87903                       # Simulator instruction rate (inst/s)
host_mem_usage                                1206052                       # Number of bytes of host memory used
host_op_rate                                   157712                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   220.30                       # Real time elapsed on the host
host_tick_rate                               23576835                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    19365005                       # Number of instructions simulated
sim_ops                                      34743763                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005194                       # Number of seconds simulated
sim_ticks                                  5193945000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  10399279                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5845807                       # number of cc regfile writes
system.cpu.committedInsts                    19365005                       # Number of Instructions Simulated
system.cpu.committedOps                      34743763                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.536426                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.536426                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2189475                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3620254                       # number of floating regfile writes
system.cpu.idleCycles                           97227                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                18493                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3314703                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.386840                       # Inst execution rate
system.cpu.iew.exec_refs                     12138593                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4093857                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  155995                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8079541                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 43                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               405                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4114231                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            35445138                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8044736                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             48370                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              35182123                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    846                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                135138                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  18128                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                137667                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            507                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13329                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           5164                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  33054574                       # num instructions consuming a value
system.cpu.iew.wb_count                      35154282                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.705975                       # average fanout of values written-back
system.cpu.iew.wb_producers                  23335692                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.384160                       # insts written-back per cycle
system.cpu.iew.wb_sent                       35164989                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 55630631                       # number of integer regfile reads
system.cpu.int_regfile_writes                24165144                       # number of integer regfile writes
system.cpu.ipc                               1.864190                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.864190                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            100491      0.29%      0.29% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              20312371     57.66%     57.94% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               518299      1.47%     59.41% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 54287      0.15%     59.57% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1521011      4.32%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  64      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  476      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                21308      0.06%     63.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     63.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                11195      0.03%     63.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               27937      0.08%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                501      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     64.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          508516      1.44%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              6008659     17.06%     82.56% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             3062090      8.69%     91.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         2047939      5.81%     97.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1035349      2.94%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               35230493                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 5188645                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            10371262                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      5172530                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            5208062                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      628350                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.017835                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  340728     54.23%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     54.23% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   1012      0.16%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                     19      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     5      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   16      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     54.39% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 277257     44.12%     98.52% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  4279      0.68%     99.20% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead              2008      0.32%     99.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite             3026      0.48%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               30569707                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           71014114                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     29981752                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          30938947                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   35445093                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  35230493                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                  45                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined          701369                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued              5376                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved              9                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined       915802                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      10290664                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         3.423539                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        1.897663                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             1135069     11.03%     11.03% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1              484778      4.71%     15.74% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2             1523194     14.80%     30.54% # Number of insts issued each cycle
